Job Title,Years of Experience,Department,Salary Range,Work Location,Training Hours,Satisfaction Score,Last Evaluation Score,Average Monthly Hours,Attrition
Director,26,Marketing,Medium,Remote,28,0,8,244,0
Assistant,18,Sales,Low,Remote,1,10,4,297,0
Consultant,24,Sales,Medium,Office,89,8,3,182,0
Director,27,Sales,High,Office,56,9,5,266,1
Manager,16,Marketing,High,Remote,56,9,8,232,0
Manager,9,Engineering,Medium,Office,41,0,1,178,0
Consultant,18,Marketing,Low,Office,48,10,4,151,0
Consultant,30,Marketing,Medium,Office,56,0,3,208,0
Assistant,30,Engineering,Low,Remote,70,10,2,125,0
Executive,30,Engineering,Low,Remote,17,2,4,266,0
Manager,10,Customer Support,High,Remote,69,0,6,272,0
Consultant,14,Marketing,Low,Remote,26,6,10,176,0
Manager,9,Engineering,High,Office,53,6,2,130,0
Consultant,10,Customer Support,Low,Remote,23,10,2,250,0
Director,22,Engineering,Low,Remote,96,7,5,139,0
Manager,2,Engineering,High,Office,94,1,4,131,0
Director,29,Customer Support,Low,Remote,33,6,2,200,0
Manager,2,Marketing,Medium,Office,21,8,0,103,0
Executive,17,Customer Support,Low,Remote,87,10,9,180,0
Assistant,24,Marketing,High,Office,62,9,1,183,0
Director,10,Engineering,High,Office,35,4,2,273,0
Consultant,19,Customer Support,Medium,Office,91,9,3,174,0
Executive,25,Sales,Low,Office,83,2,4,141,0
Manager,28,Engineering,Medium,Remote,60,8,9,196,0
Director,21,Customer Support,Low,Office,81,0,8,266,1
Manager,17,Engineering,Medium,Office,41,2,3,297,0
Manager,24,Customer Support,High,Remote,95,1,8,202,0
Manager,14,Marketing,High,Office,32,1,4,283,0
Assistant,6,Sales,Medium,Office,73,2,2,146,0
Assistant,9,Engineering,Low,Remote,8,9,6,265,0
Consultant,20,Sales,Low,Remote,24,6,7,117,0
Director,22,Marketing,High,Remote,12,5,8,101,0
Executive,29,Customer Support,Low,Office,46,8,8,204,0
Executive,19,Sales,Medium,Office,44,9,5,201,0
Executive,28,Customer Support,Medium,Remote,4,10,8,281,1
Manager,9,Marketing,Low,Remote,30,9,2,187,0
Assistant,12,Engineering,High,Remote,30,2,1,257,0
Director,14,Marketing,High,Office,97,4,4,103,0
Manager,22,Sales,High,Office,89,8,6,106,0
Assistant,17,Sales,High,Remote,70,2,10,156,0
Assistant,22,Sales,High,Office,40,7,6,129,0
Director,30,Customer Support,Medium,Office,45,8,10,271,1
Director,3,Engineering,Low,Office,51,10,5,256,0
Director,19,Sales,Medium,Remote,83,10,2,189,0
Manager,16,Sales,High,Remote,85,6,5,135,0
Consultant,27,Sales,High,Office,4,5,0,198,0
Director,2,Marketing,Low,Remote,11,10,2,212,0
Consultant,20,Sales,Low,Office,20,5,1,275,0
Manager,20,Marketing,Low,Office,8,5,3,246,0
Consultant,1,Sales,Medium,Remote,92,4,7,290,1
Executive,3,Marketing,Low,Remote,90,6,2,101,0
Consultant,0,Customer Support,Medium,Remote,16,6,5,241,0
Director,14,Customer Support,High,Office,23,6,9,212,0
Manager,24,Marketing,Medium,Remote,26,2,0,199,0
Director,0,Engineering,Low,Office,7,10,3,203,0
Executive,5,Engineering,Medium,Office,43,5,4,211,0
Director,6,Marketing,Medium,Office,61,8,4,134,0
Director,18,Customer Support,Medium,Office,28,8,0,248,0
Director,11,Marketing,Low,Office,82,3,8,244,0
Assistant,30,Engineering,Medium,Remote,73,8,4,181,0
Executive,0,Marketing,Low,Office,23,1,8,131,0
Director,6,Customer Support,Medium,Office,33,7,6,250,0
Director,18,Engineering,Medium,Remote,59,1,4,233,0
Director,12,Engineering,Medium,Office,30,4,8,128,0
Manager,25,Sales,Low,Remote,3,5,4,162,0
Assistant,11,Sales,Low,Office,94,1,9,297,1
Manager,11,Engineering,Low,Remote,8,8,8,224,0
Assistant,21,Engineering,High,Remote,89,5,4,195,0
Director,12,Marketing,Low,Remote,76,7,0,180,0
Executive,27,Customer Support,Medium,Remote,89,3,6,231,0
Consultant,13,Engineering,High,Remote,53,2,4,157,0
Consultant,21,Customer Support,Low,Office,0,3,4,258,0
Director,29,Engineering,Low,Remote,60,0,5,249,0
Manager,11,Customer Support,High,Remote,72,0,5,254,0
Executive,19,Sales,High,Remote,30,7,6,217,0
Assistant,11,Engineering,Low,Office,87,0,7,184,0
Director,26,Marketing,High,Remote,44,4,0,183,0
Executive,5,Customer Support,Medium,Office,59,9,9,186,0
Executive,26,Engineering,Medium,Office,85,8,10,115,0
Assistant,9,Sales,Medium,Remote,72,2,2,105,0
Executive,19,Sales,Low,Office,86,9,5,106,0
Manager,30,Sales,Medium,Office,83,1,0,113,0
Manager,28,Sales,High,Office,41,4,4,102,0
Manager,23,Engineering,Medium,Office,84,1,4,148,0
Executive,8,Marketing,High,Office,26,9,9,135,0
Manager,1,Customer Support,Medium,Remote,57,0,8,128,0
Assistant,6,Marketing,High,Office,68,10,10,231,0
Executive,8,Customer Support,Medium,Office,80,8,1,267,0
Consultant,24,Marketing,Medium,Office,97,10,6,268,1
Executive,11,Engineering,Medium,Office,72,9,8,249,0
Assistant,4,Engineering,High,Office,33,10,7,231,0
Consultant,0,Customer Support,High,Remote,9,8,0,220,0
Executive,21,Engineering,Medium,Office,65,0,0,122,0
Manager,14,Customer Support,High,Office,24,3,1,201,0
Director,7,Marketing,High,Office,2,4,0,231,0
Director,0,Engineering,Low,Remote,33,1,7,295,0
Manager,17,Engineering,Medium,Remote,70,10,6,117,0
Director,12,Customer Support,High,Remote,27,8,5,100,0
Director,28,Customer Support,High,Office,8,8,1,131,0
Manager,0,Customer Support,High,Office,10,8,10,248,0
Manager,4,Customer Support,High,Office,92,7,8,265,1
Executive,17,Sales,Low,Office,79,5,0,253,0
Executive,15,Customer Support,High,Office,38,0,0,140,0
Manager,30,Sales,High,Office,92,9,1,276,1
Assistant,25,Marketing,Low,Office,12,4,6,184,0
Director,9,Customer Support,Medium,Office,98,7,9,192,0
Executive,29,Sales,Medium,Office,10,3,0,216,0
Director,3,Sales,Low,Office,34,7,2,268,0
Consultant,0,Sales,Medium,Office,7,5,9,195,0
Manager,22,Engineering,Medium,Remote,6,0,7,158,0
Assistant,7,Sales,Low,Remote,68,0,6,231,0
Consultant,4,Customer Support,High,Remote,69,2,7,240,0
Consultant,1,Customer Support,Low,Remote,56,0,5,160,0
Consultant,23,Customer Support,Low,Office,34,3,7,150,0
Manager,16,Sales,Low,Remote,93,2,4,262,0
Executive,30,Sales,Low,Remote,10,6,8,190,0
Manager,6,Engineering,Low,Remote,37,10,9,164,0
Executive,16,Marketing,High,Remote,90,8,10,148,0
Consultant,27,Engineering,Medium,Remote,84,6,0,276,1
Consultant,5,Customer Support,Low,Office,77,10,6,202,0
Assistant,28,Customer Support,High,Remote,48,4,5,241,0
Executive,21,Customer Support,Low,Remote,34,0,7,264,0
Consultant,14,Engineering,High,Office,28,4,1,129,0
Director,4,Customer Support,Medium,Remote,87,0,0,241,0
Assistant,14,Customer Support,High,Office,99,5,0,191,0
Manager,17,Customer Support,High,Office,40,7,1,254,0
Assistant,17,Sales,Medium,Office,95,6,4,161,0
Director,24,Marketing,Medium,Office,5,0,6,102,0
Executive,20,Sales,High,Remote,9,7,8,297,0
Manager,20,Sales,Low,Remote,83,8,3,138,0
Manager,22,Marketing,Low,Office,83,9,8,118,0
Executive,5,Marketing,Medium,Remote,89,1,10,204,0
Assistant,1,Engineering,Low,Office,84,0,2,197,0
Consultant,26,Marketing,Medium,Remote,22,5,5,227,0
Assistant,16,Engineering,High,Remote,45,3,8,266,0
Director,20,Engineering,High,Office,11,6,10,109,0
Consultant,3,Sales,Low,Remote,54,2,0,274,0
Assistant,11,Customer Support,Medium,Office,12,2,3,227,0
Executive,18,Sales,Low,Office,73,7,4,188,0
Director,1,Sales,Low,Remote,6,6,10,250,0
Director,25,Marketing,High,Remote,100,4,5,158,0
Director,1,Marketing,Low,Office,11,2,10,182,0
Consultant,13,Engineering,High,Office,60,0,7,201,0
Manager,14,Engineering,Medium,Remote,24,10,1,247,0
Consultant,19,Engineering,Low,Remote,1,2,5,272,0
Assistant,1,Marketing,High,Remote,25,8,6,143,0
Manager,3,Engineering,Low,Remote,50,0,5,117,0
Assistant,18,Engineering,Medium,Office,68,4,3,147,0
Manager,8,Marketing,Low,Remote,61,3,5,174,0
Consultant,6,Customer Support,Low,Remote,71,10,3,100,0
Director,29,Sales,High,Office,72,5,8,259,1
Executive,12,Marketing,Medium,Remote,38,1,0,196,0
Director,26,Engineering,Medium,Office,83,3,8,291,1
Consultant,30,Sales,Medium,Office,10,8,10,106,0
Manager,11,Marketing,Low,Remote,63,10,3,194,0
Director,2,Sales,High,Remote,85,4,2,189,0
Consultant,12,Sales,Low,Office,79,7,10,298,1
Assistant,14,Customer Support,Low,Office,41,1,4,199,0
Executive,13,Engineering,Low,Remote,9,10,2,273,0
Director,23,Marketing,Medium,Office,88,8,0,251,1
Manager,8,Engineering,High,Office,18,6,7,168,0
Assistant,12,Customer Support,Medium,Office,3,6,8,207,0
Consultant,22,Customer Support,Low,Office,82,1,5,263,0
Executive,21,Marketing,Low,Office,2,7,1,294,0
Manager,3,Marketing,High,Office,80,8,5,149,0
Consultant,20,Customer Support,Medium,Office,13,9,5,286,0
Consultant,7,Marketing,Low,Remote,9,10,5,285,0
Director,2,Sales,Low,Office,5,4,9,145,0
Director,1,Sales,High,Remote,30,2,10,297,0
Manager,18,Customer Support,Low,Office,30,2,8,122,0
Consultant,27,Engineering,Medium,Remote,47,5,3,111,0
Director,22,Marketing,Medium,Office,8,0,1,255,0
Executive,7,Marketing,Low,Remote,75,9,7,285,1
Executive,16,Sales,Low,Remote,25,10,5,160,0
Consultant,12,Marketing,Low,Remote,1,8,9,282,0
Director,6,Engineering,High,Remote,3,5,0,133,0
Manager,8,Marketing,High,Office,95,8,5,193,0
Manager,11,Marketing,Medium,Office,91,2,1,200,0
Manager,28,Sales,Medium,Office,5,9,3,117,0
Executive,13,Marketing,Low,Office,29,2,1,219,0
Director,13,Customer Support,Low,Remote,54,9,3,262,0
Director,14,Customer Support,Low,Office,27,6,6,275,0
Executive,2,Engineering,High,Office,60,6,7,136,0
Manager,14,Engineering,High,Office,76,3,2,140,0
Manager,18,Engineering,Low,Office,54,10,0,233,0
Consultant,23,Engineering,Low,Remote,35,7,9,227,0
Assistant,19,Sales,Medium,Office,73,10,0,185,0
Director,13,Marketing,High,Office,73,1,9,190,0
Director,7,Sales,Low,Remote,4,0,10,138,0
Director,4,Engineering,High,Remote,28,0,6,103,0
Assistant,29,Marketing,Low,Office,99,1,0,243,0
Consultant,18,Customer Support,Low,Remote,11,10,2,151,0
Assistant,30,Sales,Medium,Office,21,10,10,212,0
Manager,3,Marketing,Medium,Office,58,5,4,118,0
Manager,13,Customer Support,Medium,Office,38,7,10,191,0
Director,15,Customer Support,Low,Office,1,2,4,220,0
Executive,19,Engineering,Medium,Remote,13,5,10,116,0
Director,23,Customer Support,Low,Remote,9,7,3,272,0
Executive,5,Customer Support,High,Remote,47,8,7,229,0
Assistant,22,Engineering,High,Remote,63,7,2,229,0
Manager,24,Marketing,Low,Office,2,6,7,187,0
Executive,30,Marketing,Medium,Remote,71,3,5,154,0
Assistant,5,Engineering,Medium,Remote,59,2,3,190,0
Manager,2,Sales,High,Office,80,6,9,103,0
Executive,14,Engineering,Low,Office,67,0,10,222,0
Director,28,Marketing,Low,Remote,20,6,2,199,0
Director,2,Sales,Low,Office,93,5,9,239,0
Director,10,Engineering,High,Office,18,2,9,281,0
Assistant,2,Marketing,High,Office,78,2,1,159,0
Director,27,Marketing,Medium,Remote,19,1,5,128,0
Consultant,9,Marketing,Low,Remote,57,0,0,288,0
Manager,17,Customer Support,Low,Remote,41,10,9,145,0
Assistant,0,Customer Support,Low,Office,93,4,7,196,0
Director,15,Sales,Low,Remote,9,6,4,148,0
Manager,15,Sales,High,Office,22,6,6,219,0
Executive,26,Sales,Medium,Remote,87,5,6,245,1
Director,9,Customer Support,High,Office,11,10,10,175,0
Manager,0,Sales,Medium,Office,8,9,9,173,0
Consultant,3,Marketing,Low,Remote,78,5,5,251,0
Executive,2,Marketing,Low,Remote,28,10,4,116,0
Consultant,4,Sales,Low,Remote,81,6,1,206,0
Manager,11,Sales,Low,Remote,19,7,2,195,0
Consultant,24,Customer Support,Low,Office,64,4,2,283,1
Manager,11,Marketing,High,Remote,2,0,4,188,0
Manager,12,Engineering,Medium,Office,7,6,1,151,0
Consultant,23,Engineering,High,Office,38,1,10,170,0
Manager,11,Customer Support,Low,Remote,63,10,0,119,0
Director,24,Customer Support,Medium,Office,30,4,3,256,0
Manager,15,Customer Support,Medium,Remote,71,6,9,182,0
Assistant,12,Marketing,Low,Remote,78,6,2,277,0
Manager,4,Sales,Medium,Remote,21,8,10,218,0
Assistant,23,Sales,High,Office,95,4,2,217,0
Manager,3,Customer Support,High,Remote,4,5,9,242,0
Manager,20,Marketing,High,Remote,57,9,10,258,1
Consultant,14,Engineering,High,Office,72,10,5,112,0
Director,11,Customer Support,Medium,Remote,78,5,8,155,0
Director,18,Marketing,High,Remote,62,0,9,118,0
Executive,20,Customer Support,Medium,Office,60,9,9,169,0
Consultant,27,Marketing,Low,Remote,51,6,10,255,1
Consultant,18,Marketing,High,Office,100,9,1,249,1
Director,20,Customer Support,Low,Office,32,6,4,255,0
Consultant,10,Sales,High,Office,21,3,1,179,0
Director,29,Customer Support,Low,Office,50,3,5,213,0
Consultant,20,Sales,Low,Office,10,10,0,132,0
Manager,5,Sales,Low,Office,57,5,0,213,0
Director,8,Engineering,Low,Office,49,2,8,272,0
Director,0,Marketing,Low,Office,69,9,9,275,1
Assistant,11,Customer Support,Medium,Office,16,5,4,214,0
Consultant,25,Marketing,Medium,Remote,45,10,8,162,0
Consultant,13,Engineering,High,Remote,43,10,7,125,0
Director,5,Sales,Medium,Remote,56,3,8,186,0
Manager,0,Customer Support,Low,Office,4,9,8,100,0
Manager,21,Marketing,Medium,Office,38,7,7,289,1
Manager,1,Engineering,Medium,Office,57,4,2,192,0
Consultant,23,Sales,Low,Remote,8,7,6,299,0
Assistant,10,Sales,Medium,Remote,92,8,3,205,0
Director,2,Marketing,Low,Remote,22,3,7,230,0
Executive,9,Sales,Medium,Office,46,0,6,183,0
Assistant,29,Engineering,Low,Office,35,9,8,206,0
Executive,5,Sales,High,Remote,30,6,7,215,0
Assistant,5,Customer Support,Medium,Remote,83,6,2,104,0
Manager,30,Customer Support,High,Office,22,4,4,272,0
Consultant,19,Marketing,Low,Remote,55,4,2,111,0
Executive,20,Engineering,Low,Remote,70,0,10,147,0
Assistant,1,Sales,High,Office,45,2,8,113,0
Consultant,25,Sales,Low,Remote,57,0,0,152,0
Executive,30,Sales,Low,Office,35,6,6,144,0
Director,25,Customer Support,Low,Office,67,4,8,259,1
Assistant,23,Engineering,Low,Office,87,3,2,257,0
Director,9,Sales,Low,Remote,59,6,6,111,0
Manager,22,Marketing,Low,Office,13,8,6,199,0
Director,25,Engineering,Low,Office,24,5,10,182,0
Director,5,Engineering,Low,Office,70,8,1,143,0
Assistant,22,Sales,High,Remote,78,5,4,252,0
Manager,27,Customer Support,Medium,Remote,43,9,9,269,1
Director,16,Engineering,Low,Remote,45,8,6,120,0
Consultant,29,Marketing,High,Office,12,5,1,288,0
Executive,13,Engineering,Low,Remote,61,8,9,165,0
Director,4,Customer Support,Medium,Remote,18,2,9,200,0
Manager,22,Marketing,Low,Remote,11,4,1,120,0
Director,16,Customer Support,High,Remote,89,10,10,125,0
Executive,1,Sales,High,Office,47,4,5,259,0
Manager,8,Engineering,Medium,Office,32,9,1,116,0
Assistant,11,Marketing,Low,Office,78,7,9,103,0
Manager,18,Customer Support,High,Office,36,10,0,138,0
Assistant,21,Sales,Medium,Office,5,10,2,114,0
Manager,30,Marketing,Medium,Office,88,6,0,132,0
Executive,6,Engineering,Low,Remote,80,1,5,288,0
Executive,8,Engineering,High,Remote,42,10,3,241,0
Manager,20,Customer Support,Low,Remote,99,1,1,189,0
Director,15,Marketing,Low,Remote,49,6,6,146,0
Executive,19,Sales,Low,Office,45,9,6,229,0
Assistant,10,Sales,High,Office,72,9,7,189,0
Assistant,11,Sales,Medium,Remote,27,3,6,165,0
Consultant,14,Customer Support,Low,Remote,98,5,0,275,0
Assistant,17,Sales,Low,Office,66,8,2,291,1
Consultant,18,Marketing,High,Remote,10,9,0,293,0
Manager,15,Customer Support,Low,Remote,19,10,1,275,0
Manager,14,Engineering,Medium,Remote,86,3,0,180,0
Manager,4,Customer Support,Low,Office,29,6,8,117,0
Director,10,Customer Support,Medium,Office,100,8,6,278,1
Director,14,Customer Support,Low,Office,35,0,8,231,0
Consultant,28,Marketing,Low,Remote,75,9,7,180,0
Assistant,17,Engineering,Low,Office,99,10,9,260,1
Assistant,12,Engineering,Medium,Remote,98,1,1,250,0
Manager,3,Customer Support,Low,Remote,97,8,0,280,0
Executive,16,Customer Support,Low,Office,67,4,4,112,0
Director,3,Customer Support,Low,Office,87,3,6,170,0
Director,15,Marketing,Medium,Office,35,6,1,157,0
Manager,22,Marketing,Low,Office,57,4,3,290,1
Director,14,Sales,High,Office,27,0,6,164,0
Manager,13,Engineering,Medium,Office,38,8,8,203,0
Consultant,11,Sales,High,Office,65,7,5,141,0
Assistant,2,Sales,Low,Remote,42,2,6,194,0
Executive,9,Customer Support,Medium,Office,4,9,7,199,0
Assistant,7,Marketing,Medium,Remote,91,2,7,188,0
Assistant,5,Sales,Low,Office,12,2,8,208,0
Consultant,21,Sales,High,Remote,99,6,9,213,1
Director,13,Sales,Medium,Remote,8,1,1,139,0
Executive,30,Customer Support,Medium,Office,93,8,6,193,0
Director,16,Customer Support,Medium,Office,56,3,1,201,0
Assistant,20,Marketing,Medium,Office,26,6,6,120,0
Manager,18,Sales,Medium,Remote,60,7,10,182,0
Assistant,15,Sales,Low,Office,76,4,8,260,0
Director,14,Marketing,Medium,Office,49,7,3,210,0
Assistant,25,Marketing,High,Remote,91,3,4,297,1
Manager,14,Marketing,Medium,Remote,81,9,4,141,0
Consultant,0,Engineering,Low,Remote,33,1,1,136,0
Director,23,Marketing,Low,Remote,84,2,2,299,1
Assistant,22,Customer Support,High,Remote,64,5,9,228,0
Director,22,Engineering,Medium,Remote,44,9,0,176,0
Consultant,11,Marketing,High,Remote,86,5,2,253,0
Assistant,9,Customer Support,High,Remote,33,6,4,212,0
Assistant,13,Marketing,High,Office,99,10,8,138,0
Director,9,Marketing,High,Office,72,3,0,146,0
Director,9,Engineering,Medium,Remote,7,7,5,155,0
Manager,19,Customer Support,Low,Remote,93,7,1,209,0
Consultant,28,Sales,Low,Remote,47,10,5,285,1
Manager,30,Marketing,Medium,Remote,35,6,9,255,1
Assistant,10,Engineering,High,Remote,99,2,5,284,1
Director,21,Customer Support,Medium,Office,81,2,0,170,0
Assistant,15,Marketing,High,Remote,65,1,4,209,0
Assistant,28,Sales,High,Remote,10,10,9,299,1
Executive,8,Customer Support,Medium,Office,51,6,1,272,0
Executive,14,Customer Support,Medium,Remote,35,5,0,164,0
Assistant,13,Engineering,High,Remote,94,6,10,103,0
Director,18,Marketing,High,Office,30,1,8,288,0
Assistant,30,Marketing,High,Remote,23,3,5,160,0
Executive,8,Customer Support,High,Remote,20,0,0,270,0
Director,3,Marketing,Medium,Remote,95,1,9,204,0
Assistant,20,Customer Support,Low,Office,29,6,8,246,0
Consultant,6,Sales,Low,Remote,71,4,8,185,0
Consultant,21,Engineering,High,Remote,96,9,6,199,0
Assistant,25,Marketing,Low,Office,63,2,8,228,0
Director,7,Marketing,Low,Office,38,1,0,246,0
Assistant,23,Engineering,Low,Remote,0,2,2,150,0
Assistant,7,Sales,Low,Remote,96,3,7,163,0
Executive,18,Sales,Low,Remote,41,9,2,162,0
Consultant,14,Sales,Low,Remote,76,9,7,128,0
Executive,15,Sales,High,Remote,85,4,2,246,0
Executive,29,Sales,High,Remote,4,7,3,142,0
Assistant,25,Customer Support,High,Remote,11,8,3,169,0
Executive,21,Marketing,Medium,Office,28,1,4,138,0
Consultant,22,Marketing,Low,Office,2,2,9,122,0
Executive,8,Marketing,Low,Remote,60,3,9,100,0
Consultant,25,Customer Support,Medium,Office,50,6,10,160,0
Executive,25,Engineering,Low,Remote,35,5,3,124,0
Consultant,29,Sales,High,Remote,74,5,6,231,0
Executive,11,Engineering,High,Remote,89,9,10,208,0
Executive,30,Sales,Medium,Remote,1,6,3,207,0
Director,15,Sales,High,Office,28,0,10,100,0
Consultant,3,Engineering,Medium,Remote,40,7,0,139,0
Consultant,4,Marketing,High,Remote,28,8,4,120,0
Consultant,7,Customer Support,Low,Remote,99,1,7,270,0
Manager,0,Engineering,High,Remote,63,0,5,237,0
Executive,27,Marketing,Medium,Office,57,3,3,165,0
Consultant,5,Sales,Low,Remote,82,10,3,116,0
Manager,14,Marketing,Medium,Office,9,1,0,223,0
Director,3,Sales,Low,Office,10,5,9,240,0
Consultant,20,Sales,Low,Remote,6,2,0,190,0
Consultant,10,Marketing,High,Remote,76,8,2,212,0
Manager,4,Sales,High,Remote,60,7,3,225,0
Executive,17,Customer Support,Low,Office,65,6,3,109,0
Director,23,Marketing,High,Office,93,10,1,279,1
Consultant,14,Engineering,High,Remote,85,6,10,237,1
Executive,17,Sales,Medium,Remote,52,6,8,146,0
Director,19,Sales,High,Office,64,4,7,108,0
Assistant,27,Customer Support,Low,Remote,26,7,2,145,0
Assistant,12,Customer Support,High,Office,6,3,10,216,0
Director,4,Engineering,Low,Office,64,4,1,202,0
Manager,29,Sales,Low,Office,57,2,0,223,0
Director,0,Engineering,Medium,Office,24,2,9,167,0
Director,21,Engineering,Low,Remote,47,1,8,208,0
Manager,17,Sales,Low,Remote,3,4,4,281,0
Manager,13,Engineering,Medium,Office,93,1,7,167,0
Executive,4,Engineering,Low,Remote,7,9,3,231,0
Executive,30,Customer Support,Medium,Office,84,3,1,204,0
Manager,5,Customer Support,Low,Remote,67,9,4,228,0
Assistant,26,Engineering,High,Office,59,0,7,158,0
Assistant,23,Sales,Medium,Remote,3,1,5,252,0
Director,24,Customer Support,Medium,Remote,7,10,7,236,0
Consultant,28,Engineering,Low,Office,89,0,10,124,0
Director,30,Marketing,Medium,Remote,92,1,2,181,0
Director,27,Marketing,Low,Office,15,3,4,298,0
Consultant,15,Engineering,Medium,Remote,18,0,1,253,0
Manager,21,Marketing,Medium,Office,0,5,10,155,0
Assistant,20,Customer Support,High,Remote,100,0,2,148,0
Director,11,Sales,Low,Remote,33,2,6,164,0
Consultant,19,Engineering,High,Office,92,1,0,288,0
Executive,17,Customer Support,Medium,Office,90,1,7,108,0
Director,1,Sales,Low,Remote,44,3,4,237,0
Assistant,22,Marketing,High,Remote,62,8,1,211,0
Manager,20,Marketing,Medium,Office,93,2,2,238,0
Director,22,Marketing,High,Office,5,5,3,195,0
Director,12,Marketing,Medium,Office,35,10,1,184,0
Consultant,26,Customer Support,Medium,Office,65,9,9,135,0
Executive,16,Customer Support,Low,Remote,77,2,4,283,0
Executive,16,Sales,Low,Remote,7,9,6,259,0
Manager,15,Engineering,Low,Remote,66,4,8,182,0
Assistant,20,Sales,Medium,Remote,98,8,0,299,1
Manager,17,Engineering,High,Remote,26,2,9,262,0
Director,7,Marketing,Low,Remote,33,7,5,231,0
Director,29,Marketing,Low,Office,27,5,5,161,0
Executive,30,Marketing,Low,Remote,30,7,0,162,0
Assistant,2,Marketing,Low,Office,16,1,1,235,0
Consultant,16,Customer Support,Medium,Office,82,8,10,218,0
Assistant,28,Sales,High,Office,54,0,7,175,0
Director,17,Engineering,Medium,Office,74,2,5,168,0
Consultant,25,Engineering,Medium,Remote,8,3,0,288,0
Assistant,25,Customer Support,Medium,Office,93,5,9,193,0
Assistant,22,Marketing,Low,Office,56,10,9,162,0
Consultant,5,Sales,High,Remote,44,3,10,160,0
Director,27,Marketing,Medium,Office,5,10,5,198,0
Assistant,7,Customer Support,Medium,Office,13,1,9,136,0
Consultant,22,Engineering,Medium,Remote,30,2,6,103,0
Director,29,Customer Support,Low,Office,53,2,1,155,0
Consultant,25,Engineering,Low,Remote,10,5,10,142,0
Consultant,12,Sales,Medium,Remote,68,4,3,120,0
Assistant,7,Engineering,Low,Remote,94,4,6,157,0
Director,18,Sales,High,Remote,1,10,10,243,0
Assistant,5,Marketing,Low,Remote,16,3,5,152,0
Manager,28,Marketing,Medium,Office,35,3,10,117,0
Manager,22,Customer Support,High,Remote,2,8,7,156,0
Director,14,Sales,Low,Remote,62,6,5,194,0
Consultant,9,Marketing,Medium,Remote,42,7,1,265,0
Assistant,26,Sales,High,Remote,92,3,0,222,0
Assistant,16,Marketing,High,Remote,32,10,4,131,0
Director,0,Marketing,High,Office,77,2,10,211,0
Director,6,Engineering,Low,Office,28,0,9,118,0
Manager,28,Customer Support,High,Remote,22,8,9,183,0
Executive,26,Engineering,Low,Office,58,8,8,147,0
Director,12,Sales,Medium,Remote,80,1,1,173,0
Executive,2,Marketing,Low,Remote,48,3,6,253,0
Director,18,Customer Support,Low,Remote,54,3,8,209,0
Consultant,14,Marketing,Medium,Office,74,0,3,181,0
Consultant,4,Marketing,Low,Remote,27,1,3,272,0
Manager,30,Engineering,Low,Remote,70,7,9,272,1
Manager,10,Sales,Medium,Office,71,5,4,114,0
Executive,21,Customer Support,High,Remote,92,0,5,245,0
Director,17,Customer Support,Medium,Office,24,6,6,130,0
Assistant,2,Customer Support,High,Office,6,10,8,242,0
Manager,5,Sales,Low,Remote,85,6,5,201,0
Assistant,2,Customer Support,Medium,Office,72,5,2,114,0
Assistant,29,Sales,High,Remote,74,10,1,164,0
Director,4,Customer Support,Low,Office,33,7,5,204,0
Executive,8,Marketing,Low,Office,90,10,8,273,1
Director,27,Sales,Low,Office,21,4,2,174,0
Manager,18,Engineering,High,Remote,66,1,3,201,0
Assistant,27,Customer Support,High,Office,49,3,2,243,0
Director,26,Engineering,High,Remote,47,10,6,282,1
Director,12,Sales,Low,Remote,71,7,3,129,0
Director,28,Marketing,High,Remote,69,7,5,140,0
Manager,5,Engineering,Medium,Office,56,4,5,166,0
Executive,10,Engineering,High,Office,24,5,8,116,0
Director,20,Marketing,High,Remote,65,8,4,125,0
Manager,20,Marketing,Low,Remote,15,9,6,217,0
Assistant,26,Sales,Medium,Remote,57,9,0,172,0
Consultant,29,Customer Support,Medium,Remote,40,9,7,200,0
Manager,13,Engineering,Medium,Remote,50,10,1,291,0
Consultant,5,Engineering,High,Remote,20,10,3,194,0
Director,5,Sales,Low,Office,78,1,9,157,0
Director,16,Customer Support,High,Remote,55,4,6,194,0
Manager,10,Sales,Low,Remote,97,8,5,201,0
Consultant,14,Engineering,Medium,Remote,46,2,3,230,0
Director,8,Engineering,High,Remote,42,5,7,219,0
Assistant,20,Marketing,Low,Office,83,3,6,225,0
Executive,16,Marketing,High,Office,30,3,5,212,0
Executive,23,Customer Support,Low,Remote,14,2,4,255,0
Director,6,Engineering,Medium,Remote,47,9,4,231,0
Consultant,6,Engineering,High,Remote,61,0,10,267,0
Director,30,Marketing,Medium,Office,91,10,6,201,1
Consultant,29,Sales,High,Office,69,7,10,156,0
Assistant,20,Sales,High,Office,2,4,5,292,0
Consultant,0,Engineering,Low,Remote,37,1,3,274,0
Director,24,Engineering,Low,Office,86,0,6,261,0
Assistant,26,Customer Support,Low,Remote,57,0,4,272,0
Manager,24,Customer Support,Medium,Remote,66,3,6,131,0
Executive,7,Marketing,Medium,Remote,44,3,6,271,0
Director,4,Engineering,High,Remote,43,5,10,196,0
Director,29,Sales,Low,Remote,7,10,1,238,0
Director,18,Customer Support,Medium,Office,65,6,3,135,0
Assistant,7,Marketing,High,Office,70,0,9,240,0
Manager,16,Marketing,Medium,Office,60,9,3,156,0
Consultant,18,Sales,High,Remote,16,1,6,252,0
